model,group,series_id,smape,mase
SeasonalNaive,m4_daily,D21,1.631166431134196,4.271888446192691
SeasonalNaive,m4_daily,D23,1.6943737268177734,2.9383730484798667
SeasonalNaive,m4_daily,D30,0.8130623023743319,0.4758608659112617
SeasonalNaive,m4_daily,D50,1.8761564190936224,11.047744560365132
SeasonalNaive,m4_daily,D60,0.39764506972211333,0.9220493045035135
SeasonalNaive,m4_daily,D62,5.04181493026161,4.938352267153256
SeasonalNaive,m4_daily,D63,2.407366475882246,4.845051619485707
SeasonalNaive,m4_daily,D89,1.8366380358480616,1.4725027833221331
SeasonalNaive,m4_daily,D90,1.8407273921995935,1.468970653955013
SeasonalNaive,m4_daily,D97,1.554252053255094,1.2394825800652638
SeasonalNaive,m4_daily,D98,4.38316285623955,4.0813084744531904
SeasonalNaive,m4_daily,D99,2.609217727353285,2.8800657273585637
SeasonalNaive,m4_daily,D121,1.1892758478940908,1.6123135960056767
SeasonalNaive,m4_daily,D126,0.9626957523631285,1.0704642247952012
SeasonalNaive,m4_daily,D137,49.432796119543106,13.927206685143194
SeasonalNaive,m4_daily,D147,6.370990392276432,2.0946154308526137
SeasonalNaive,m4_daily,D148,2.1963926543701255,2.8367338776113433
SeasonalNaive,m4_daily,D155,1.893924624776751,3.5407399817035734
SeasonalNaive,m4_daily,D175,3.256674926497425,6.471603408982559
SeasonalNaive,m4_daily,D177,5.835443905537917,12.226367125056363
SeasonalNaive,m4_daily,D188,2.5332214850609454,6.417654612426136
SeasonalNaive,m4_daily,D205,1.640151400139749,2.8895486415425062
SeasonalNaive,m4_daily,D208,1.6039737433714711,3.001165819177618
SeasonalNaive,m4_daily,D209,1.6153648219470995,3.5256192334558634
SeasonalNaive,m4_daily,D220,0.838151177785276,0.8323176491029424
SeasonalNaive,m4_daily,D221,5.143968802169563,6.874948501390463
SeasonalNaive,m4_daily,D224,1.600135407000632,2.507533605666681
SeasonalNaive,m4_daily,D233,0.6043421624686508,0.9796606089782164
SeasonalNaive,m4_daily,D234,0.6043421624686508,1.0431900539139145
SeasonalNaive,m4_daily,D235,1.2969668792972426,1.6959862827629
SeasonalNaive,m4_daily,D240,1.6187539246894702,2.401664145234493
SeasonalNaive,m4_daily,D242,1.154447650351303,1.9547924233782608
SeasonalNaive,m4_daily,D295,2.7950885962723433,3.6726872980637353
SeasonalNaive,m4_daily,D296,2.8415673948609537,4.115979730822252
SeasonalNaive,m4_daily,D319,0.9785521562271663,1.4802780859735345
SeasonalNaive,m4_daily,D321,0.8840461572870514,1.2762922445782308
SeasonalNaive,m4_daily,D340,3.475947056282016,4.259903966461386
SeasonalNaive,m4_daily,D345,2.199304081718232,5.005902276104846
SeasonalNaive,m4_daily,D347,2.181487605621221,4.1897119405398895
SeasonalNaive,m4_daily,D358,0.5778867829931374,1.022627114568132
SeasonalNaive,m4_daily,D367,2.162350438447187,3.6531143903357504
SeasonalNaive,m4_daily,D376,1.9876734417257125,3.003437162232442
SeasonalNaive,m4_daily,D378,1.736378657421694,2.4170632651762287
SeasonalNaive,m4_daily,D381,2.449812887885852,2.923868057172641
SeasonalNaive,m4_daily,D382,1.972678977560871,2.3858860245846096
SeasonalNaive,m4_daily,D385,1.8880463853310534,2.180559701432974
SeasonalNaive,m4_daily,D387,2.403751110808213,2.5880271592860784
SeasonalNaive,m4_daily,D388,4.531300912879866,7.937539840473169
SeasonalNaive,m4_daily,D398,1.2625705215473302,1.7861921357669435
