model,group,series_id,smape,mase
SeasonalNaive,m4_hourly,H1,5.262880743360628,0.8270141628553805
SeasonalNaive,m4_hourly,H2,12.495601926093423,1.9564215936614313
SeasonalNaive,m4_hourly,H3,9.583507334194389,1.6515810659616093
SeasonalNaive,m4_hourly,H4,7.399831470323208,1.4657536137512948
SeasonalNaive,m4_hourly,H5,7.669556102929339,1.26022006778127
SeasonalNaive,m4_hourly,H6,3.215497311805187,0.9769979755021866
SeasonalNaive,m4_hourly,H7,2.242573277698847,0.47570293355976884
SeasonalNaive,m4_hourly,H8,4.51599311284519,0.8872653680118971
SeasonalNaive,m4_hourly,H9,4.170535019931275,0.7855938935543784
SeasonalNaive,m4_hourly,H10,2.656817944740531,1.132049840734495
SeasonalNaive,m4_hourly,H11,2.2151720454397217,0.4666221568731615
SeasonalNaive,m4_hourly,H12,3.7555917878452036,0.6244174400306608
SeasonalNaive,m4_hourly,H13,6.117642565799098,0.9668569616238505
SeasonalNaive,m4_hourly,H14,5.313673765671166,1.1360193414947735
SeasonalNaive,m4_hourly,H15,5.494003029106547,0.9381710467815073
SeasonalNaive,m4_hourly,H16,4.30872495162444,0.7990585374326907
SeasonalNaive,m4_hourly,H17,1.5277931600054633,0.6736968853920747
SeasonalNaive,m4_hourly,H18,3.3682457526038347,0.7682719432493953
SeasonalNaive,m4_hourly,H19,1.8964119288510062,0.44136826876023916
SeasonalNaive,m4_hourly,H20,4.208815249464867,0.7190805048744588
SeasonalNaive,m4_hourly,H21,4.541860288751304,0.9635127397214134
SeasonalNaive,m4_hourly,H22,4.468015532501306,1.7326840753424657
SeasonalNaive,m4_hourly,H23,7.385233131968306,0.8968616333432806
SeasonalNaive,m4_hourly,H24,4.7235411931729105,0.6190470553952586
SeasonalNaive,m4_hourly,H25,7.437704996545555,1.36940560813029
SeasonalNaive,m4_hourly,H26,6.773751892296526,0.9522091609241995
SeasonalNaive,m4_hourly,H27,3.3813109347920993,0.5423401323969219
SeasonalNaive,m4_hourly,H28,4.506120973647065,0.8135833551825136
SeasonalNaive,m4_hourly,H29,8.76613906642884,1.4990925770315087
SeasonalNaive,m4_hourly,H30,6.062655548031202,1.2547608993764927
SeasonalNaive,m4_hourly,H31,6.442043771618013,1.4542718781664223
SeasonalNaive,m4_hourly,H32,6.1499909618793,1.3730302673328372
SeasonalNaive,m4_hourly,H33,9.31976758169837,1.9647619557119531
SeasonalNaive,m4_hourly,H34,5.415511237296456,1.8866876730741486
SeasonalNaive,m4_hourly,H35,5.374583762684516,1.2968320630476486
SeasonalNaive,m4_hourly,H36,8.3544208429783,1.3927881235559894
SeasonalNaive,m4_hourly,H37,10.467882500564977,1.3604750740338174
SeasonalNaive,m4_hourly,H38,10.16904524660344,1.6676945699734596
SeasonalNaive,m4_hourly,H39,6.061702522055064,1.2542289177055468
SeasonalNaive,m4_hourly,H40,5.054112361148845,1.1188272469723857
SeasonalNaive,m4_hourly,H41,3.9242351763818206,0.6715283389266223
SeasonalNaive,m4_hourly,H42,3.9794181275147493,0.8582939305364512
SeasonalNaive,m4_hourly,H43,4.710339176705279,0.914099743307664
SeasonalNaive,m4_hourly,H44,5.302290105749001,1.103946243068969
SeasonalNaive,m4_hourly,H45,2.5033263154051473,0.6131525848519604
SeasonalNaive,m4_hourly,H46,4.483733821559205,0.568315978942479
SeasonalNaive,m4_hourly,H47,2.464905331412781,0.5998709396210241
SeasonalNaive,m4_hourly,H48,8.018581763292536,1.437902798200493
SeasonalNaive,m4_hourly,H49,5.608885169346088,1.3421497116676335
SeasonalNaive,m4_hourly,H50,4.150002766191842,0.7793065705484183
SeasonalNaive,m4_hourly,H51,9.888736916011942,1.2520827569245903
SeasonalNaive,m4_hourly,H52,5.017414333114809,0.8194166037539374
SeasonalNaive,m4_hourly,H53,8.098830528326081,1.3596747468548633
SeasonalNaive,m4_hourly,H54,5.292959915310823,0.8291629869492689
SeasonalNaive,m4_hourly,H55,4.216950507501441,1.0259950754495346
SeasonalNaive,m4_hourly,H56,7.728954961720052,1.5160890741084434
SeasonalNaive,m4_hourly,H57,2.82636247716048,0.8746265452724722
SeasonalNaive,m4_hourly,H58,7.051883157722645,1.6263223005654759
SeasonalNaive,m4_hourly,H59,3.1027661911157645,0.7268107132864434
SeasonalNaive,m4_hourly,H60,5.669952988745556,0.6311244625080993
SeasonalNaive,m4_hourly,H61,9.988232536976854,1.2047760455332839
SeasonalNaive,m4_hourly,H62,10.40924604759394,0.6376127469904889
SeasonalNaive,m4_hourly,H63,3.5473335055575217,1.1263380174512987
SeasonalNaive,m4_hourly,H64,8.710688000808494,1.1512434253944763
SeasonalNaive,m4_hourly,H65,4.281660247716876,0.5166239936227813
SeasonalNaive,m4_hourly,H66,3.176296356852687,0.47565677430671877
SeasonalNaive,m4_hourly,H67,4.134103624829375,0.8940683501607436
SeasonalNaive,m4_hourly,H68,4.535996363515871,0.8942403615175398
SeasonalNaive,m4_hourly,H69,15.34111770255881,0.9620845235969768
SeasonalNaive,m4_hourly,H70,2.566654352689089,0.40134525421117334
SeasonalNaive,m4_hourly,H71,3.887175504726637,0.6599047165898055
SeasonalNaive,m4_hourly,H72,20.47099779217982,0.9788527556525123
SeasonalNaive,m4_hourly,H73,15.321741748265183,1.16322268134479
SeasonalNaive,m4_hourly,H74,14.207389188694416,0.8781981266342304
SeasonalNaive,m4_hourly,H75,5.7453584008566,0.9956150745633434
SeasonalNaive,m4_hourly,H76,6.27405130107694,0.3808906484500336
SeasonalNaive,m4_hourly,H77,18.543309282959527,1.4680068588962591
SeasonalNaive,m4_hourly,H78,1.5567368995220743,0.676846107241653
SeasonalNaive,m4_hourly,H79,3.319827691525133,0.7351855231043255
