model,group,series_id,smape,mase
Chronos2,m3_other,N2830,13.294607482825107,6.8342889986760476
Chronos2,m3_other,N2831,9.309076573179768,1.2176178362413852
Chronos2,m3_other,N2832,34.621551960415836,0.6020604140487184
Chronos2,m3_other,N2833,8.24161808854952,0.5820319767263942
Chronos2,m3_other,N2834,0.4007133271963161,0.6873376789965245
Chronos2,m3_other,N2835,2.5767792738599065,2.7762192365904053
Chronos2,m3_other,N2836,0.43220374920184845,0.5963062541397843
Chronos2,m3_other,N2837,2.683969869263182,5.361308536006187
Chronos2,m3_other,N2838,0.3946716105971208,0.7138635625862252
Chronos2,m3_other,N2839,1.1032614825930966,2.067724870163339
Chronos2,m3_other,N2840,1.245298733543572,2.5861586733939914
Chronos2,m3_other,N2841,0.9783759057128671,2.7551154940781433
Chronos2,m3_other,N2842,2.149205582733932,4.156418507718017
Chronos2,m3_other,N2843,0.4076147352056701,0.8599731260239074
Chronos2,m3_other,N2844,0.6757994298456108,1.859368288853538
Chronos2,m3_other,N2845,0.3672822858026311,0.8769673564961589
Chronos2,m3_other,N2846,1.143329680599979,1.5083036948426483
Chronos2,m3_other,N2847,4.625580709197487,3.437044976414011
Chronos2,m3_other,N2848,2.276105534367252,3.447538705154904
Chronos2,m3_other,N2849,0.8620349293373538,1.0259787675802057
Chronos2,m3_other,N2850,1.5364539351106714,1.4935147926526204
Chronos2,m3_other,N2851,1.6844605625222475,1.065436866638818
Chronos2,m3_other,N2852,2.8460093038360705,1.6284549453531962
Chronos2,m3_other,N2853,1.8064703106813567,0.9281166672740498
Chronos2,m3_other,N2854,3.8777928583643577,1.7093833679445496
Chronos2,m3_other,N2855,4.624776885637545,3.065716788277972
Chronos2,m3_other,N2856,5.239753731999185,3.141922492484366
Chronos2,m3_other,N2857,1.657540688327738,1.0938181822547155
Chronos2,m3_other,N2858,3.5184706651549638,2.96063422406981
Chronos2,m3_other,N2859,2.6575500756400263,1.9548835773913154
Chronos2,m3_other,N2860,1.2956442465380555,0.9882161910819273
Chronos2,m3_other,N2861,1.3539822712552283,1.014777866237985
Chronos2,m3_other,N2862,2.162409034409457,2.1952571708679267
Chronos2,m3_other,N2863,19.411113302100382,3.2190898914540638
Chronos2,m3_other,N2864,25.344933969557037,4.590075037986687
Chronos2,m3_other,N2865,7.4595961256722605,0.7774835299291758
Chronos2,m3_other,N2866,19.263342053541045,4.608713897593292
Chronos2,m3_other,N2867,47.30142490278464,5.301157648899848
Chronos2,m3_other,N2868,22.91193898674441,3.6772567313498516
Chronos2,m3_other,N2869,6.776449622868199,1.0681960754536408
Chronos2,m3_other,N2870,15.159410718213588,1.7390399752401215
Chronos2,m3_other,N2871,9.977834706838035,1.5884830727048493
Chronos2,m3_other,N2872,21.854179932005213,2.863274015794645
Chronos2,m3_other,N2873,9.170766233755423,1.5042578978859698
Chronos2,m3_other,N2874,12.683665049201682,2.0180199225217303
Chronos2,m3_other,N2875,25.906695158143247,1.9995874959092301
Chronos2,m3_other,N2876,1.1109856601498356,0.6613936374663747
Chronos2,m3_other,N2877,4.407785427215683,1.9613902182866774
Chronos2,m3_other,N2878,1.1737260762667256,0.6237227353408521
Chronos2,m3_other,N2879,3.902775436628814,1.7457631090349361
Chronos2,m3_other,N2880,2.1508557456629833,0.9790597723261298
Chronos2,m3_other,N2881,1.8085401735173052,0.782920887289852
Chronos2,m3_other,N2882,1.9120187625041511,0.7926018213540043
Chronos2,m3_other,N2883,3.417664426372004,1.318634920271043
Chronos2,m3_other,N2884,1.0894996215873498,0.663375808578078
Chronos2,m3_other,N2885,0.24938820679636725,0.26308101602451744
Chronos2,m3_other,N2886,1.4843737601607483,0.7419252952788055
Chronos2,m3_other,N2887,2.2489678921491376,1.8921577763459205
Chronos2,m3_other,N2888,5.965149781355096,3.2072168825552665
Chronos2,m3_other,N2889,2.314043770756177,1.4506481314964756
Chronos2,m3_other,N2890,2.1034976835109562,0.7951947816771829
Chronos2,m3_other,N2891,2.087187423979806,1.3587044322085928
Chronos2,m3_other,N2892,0.7011920186762611,0.6761291044995301
Chronos2,m3_other,N2893,2.866668285290278,1.9264412953566818
Chronos2,m3_other,N2894,2.1439811583377857,1.0609791246533071
Chronos2,m3_other,N2895,0.9082351435248976,0.6968597726723582
Chronos2,m3_other,N2896,0.9568719459358942,0.8329849061174796
Chronos2,m3_other,N2897,0.6736958490776055,0.6475230791114434
Chronos2,m3_other,N2898,0.5700654346407903,0.5324806617812219
Chronos2,m3_other,N2899,3.8721959653547904,1.6287151150672723
Chronos2,m3_other,N2900,0.8092697031430434,0.4675769444733079
Chronos2,m3_other,N2901,8.826090663106655,5.476875261188241
Chronos2,m3_other,N2902,2.8245826248844796,1.6115659718319095
Chronos2,m3_other,N2903,2.998049633862784,1.275501735782551
Chronos2,m3_other,N2904,2.4123237969868923,1.6535841954645518
Chronos2,m3_other,N2905,0.7353787404861721,0.4844533592763573
Chronos2,m3_other,N2906,0.49379231156696113,0.5398501785549187
Chronos2,m3_other,N2907,1.4741263291669715,0.7954647652649252
Chronos2,m3_other,N2908,1.638022131808699,0.6209768589564733
Chronos2,m3_other,N2909,0.689948967135019,0.467687435103739
Chronos2,m3_other,N2910,2.6563601811294886,1.106535835365139
Chronos2,m3_other,N2911,3.1240372588335346,1.900509157691558
Chronos2,m3_other,N2912,3.141960415161079,2.0333042130204353
Chronos2,m3_other,N2913,1.0719286276392228,0.5349411579962959
Chronos2,m3_other,N2914,0.43106447420270927,0.28148101866833086
Chronos2,m3_other,N2915,3.6650761830205676,2.3614668085649746
Chronos2,m3_other,N2916,1.559908776782291,0.6475192134975887
Chronos2,m3_other,N2917,2.4401063815465083,2.1768537844165468
Chronos2,m3_other,N2918,1.5111673885534667,1.7053668717388604
Chronos2,m3_other,N2919,1.013498660861266,1.0760962917380137
Chronos2,m3_other,N2920,0.6523806300248535,0.6716812648130267
Chronos2,m3_other,N2921,0.9107124782744006,0.7429969768706337
Chronos2,m3_other,N2922,0.6289385033630536,0.35587348565383964
Chronos2,m3_other,N2923,2.983369856875777,2.9692810536831997
Chronos2,m3_other,N2924,2.1702804095336177,2.144664506941757
Chronos2,m3_other,N2925,4.240102866594411,1.8231558102613303
Chronos2,m3_other,N2926,2.0553755251039036,2.064212306264485
Chronos2,m3_other,N2927,6.252394698466849,3.6287108616436874
Chronos2,m3_other,N2928,0.6784142926178371,0.34741019188579936
Chronos2,m3_other,N2929,7.585083614463947,3.9587883147758633
Chronos2,m3_other,N2930,2.1510576760972375,1.0385784338388944
Chronos2,m3_other,N2931,2.434399334071144,1.0171518873894352
Chronos2,m3_other,N2932,2.4874483480578595,2.222064847980596
Chronos2,m3_other,N2933,1.3003705077224161,1.1081037646345264
Chronos2,m3_other,N2934,2.7016231979886616,1.1320336996057672
Chronos2,m3_other,N2935,1.3529773804064154,1.0714917569547087
Chronos2,m3_other,N2936,5.825993052426874,4.717614598367936
Chronos2,m3_other,N2937,4.4212087138724785,2.960614125321551
Chronos2,m3_other,N2938,5.2389074014769985,4.92852992695177
Chronos2,m3_other,N2939,1.8211558219520674,2.192318590339102
Chronos2,m3_other,N2940,0.8389939744440996,0.9323931057201249
Chronos2,m3_other,N2941,2.4302644786302516,1.6940089827534017
Chronos2,m3_other,N2942,3.0382077355913935,1.8637593873099407
Chronos2,m3_other,N2943,2.707291259542754,1.6585943189389962
Chronos2,m3_other,N2944,0.9696584075424752,0.6209120684283378
Chronos2,m3_other,N2945,3.007713051651609,2.304519666740531
Chronos2,m3_other,N2946,0.5693616066839384,0.6158412872985817
Chronos2,m3_other,N2947,1.9724234657960327,1.2154385743508964
Chronos2,m3_other,N2948,1.6465415663778886,1.4985364269617822
Chronos2,m3_other,N2949,5.45068425666147,3.1322299800287245
Chronos2,m3_other,N2950,4.687628902726556,2.5904753681674655
Chronos2,m3_other,N2951,2.8381954967805076,2.24045642955379
Chronos2,m3_other,N2952,1.256638237649521,0.7776536289625667
Chronos2,m3_other,N2953,0.9038945707017498,0.8598926850479015
Chronos2,m3_other,N2954,10.091519433671971,7.931445097665064
Chronos2,m3_other,N2955,7.539783242734195,2.6062208934180062
Chronos2,m3_other,N2956,14.89951854357654,10.684198966743269
Chronos2,m3_other,N2957,2.114067580297056,0.8934238578177787
Chronos2,m3_other,N2958,7.918343085327566,5.180358720821364
Chronos2,m3_other,N2959,7.331805646359321,2.5735256505895543
Chronos2,m3_other,N2960,1.9972038383251187,0.7120668635872787
Chronos2,m3_other,N2961,3.2192157003095847,3.7585013253348216
Chronos2,m3_other,N2962,0.547190346083344,0.4298147328296319
Chronos2,m3_other,N2963,2.9210849346512235,2.0465879347717877
Chronos2,m3_other,N2964,6.784462018552204,3.0676092866524467
Chronos2,m3_other,N2965,1.943153395375885,1.3380828303515964
Chronos2,m3_other,N2966,1.3364862727305837,0.7786684682169759
Chronos2,m3_other,N2967,2.6367549616869357,1.548099312621377
Chronos2,m3_other,N2968,3.5105651756615828,1.5498502961881868
Chronos2,m3_other,N2969,3.110387999742775,2.317360424522844
Chronos2,m3_other,N2970,2.2775427693298917,1.3519745219837536
Chronos2,m3_other,N2971,5.681599313186508,2.7356021264273513
Chronos2,m3_other,N2972,0.5536857415329963,0.39907128259876584
Chronos2,m3_other,N2973,0.758016485951057,0.5733240481398214
Chronos2,m3_other,N2974,1.127332043817142,0.6082274513417761
Chronos2,m3_other,N2975,2.9080675237097537,1.7689256175265038
Chronos2,m3_other,N2976,4.360585145160279,2.510696168621861
Chronos2,m3_other,N2977,2.008439135154816,1.7677095091188109
Chronos2,m3_other,N2978,2.767451238255215,1.7137328826811367
Chronos2,m3_other,N2979,1.0391516604712832,0.7121266813694971
Chronos2,m3_other,N2980,2.4916861172266445,1.7238862442769443
Chronos2,m3_other,N2981,3.208561478592528,2.4908994920672494
Chronos2,m3_other,N2982,1.8496714833457344,0.9607145125249464
Chronos2,m3_other,N2983,6.317031129563185,4.960890759322723
Chronos2,m3_other,N2984,2.599049949332452,1.7551536159976346
Chronos2,m3_other,N2985,8.114181636711743,2.4262373595376325
Chronos2,m3_other,N2986,5.578915096440969,2.113220448730768
Chronos2,m3_other,N2987,2.3029221728094553,1.5064694325183887
Chronos2,m3_other,N2988,7.064718001859873,2.409833628091214
Chronos2,m3_other,N2989,3.1290362766614264,1.1589602975870237
Chronos2,m3_other,N2990,2.885813201027083,3.732836764821557
Chronos2,m3_other,N2991,33.90395195277327,2.9501885432712247
Chronos2,m3_other,N2992,0.37728036221181094,0.32236183836869114
Chronos2,m3_other,N2993,0.9238110646737571,0.7647319514576982
Chronos2,m3_other,N2994,10.372987858719876,8.288486767319775
Chronos2,m3_other,N2995,0.9132199109485343,0.8406924861757743
Chronos2,m3_other,N2996,1.443771994454801,1.4048905806107954
Chronos2,m3_other,N2997,3.634713214649787,3.2847913385468646
Chronos2,m3_other,N2998,7.163997448948132,5.774621650296295
Chronos2,m3_other,N2999,1.264480988323345,0.6692415455942807
Chronos2,m3_other,N3000,2.1245469805499386,0.4156354215491228
Chronos2,m3_other,N3001,15.295079420494808,1.8583044822496009
Chronos2,m3_other,N3002,4.131141146406407,2.335349004101665
Chronos2,m3_other,N3003,6.70763916028903,3.4207239629606385
