model,group,series_id,smape,mase
LSTM,m3_other,N2830,2.4147891539131825,1.135576325561512
LSTM,m3_other,N2831,10.442614567494902,1.4045489975711092
LSTM,m3_other,N2832,61.28893988417555,1.7051765997224737
LSTM,m3_other,N2833,41.158757632419594,3.7916991413797736
LSTM,m3_other,N2834,3.2493703374855625,5.474636250827214
LSTM,m3_other,N2835,6.321210827048587,6.637132761378702
LSTM,m3_other,N2836,0.8524050185732999,1.1810639847642648
LSTM,m3_other,N2837,4.0258370103418875,7.98169786913716
LSTM,m3_other,N2838,0.46761575967467817,0.8463368794809756
LSTM,m3_other,N2839,3.471762274136575,6.417324082235298
LSTM,m3_other,N2840,0.9124120029971734,1.8984300187905716
LSTM,m3_other,N2841,0.7971765860080436,2.2472668771930313
LSTM,m3_other,N2842,1.8074468774762666,3.5008145099919625
LSTM,m3_other,N2843,2.529955242761294,5.263199158013009
LSTM,m3_other,N2844,0.7820267428715597,2.1511297580214497
LSTM,m3_other,N2845,0.5437788847234244,1.2972101280940995
LSTM,m3_other,N2846,1.4848509096924851,1.9560447489794925
LSTM,m3_other,N2847,6.4009942442413745,4.7130894902666665
LSTM,m3_other,N2848,3.883441686621911,5.824862167603767
LSTM,m3_other,N2849,1.6999036491857742,2.033618976684136
LSTM,m3_other,N2850,1.9995533502160232,1.95414701101634
LSTM,m3_other,N2851,1.6523305563421635,1.0368083286046346
LSTM,m3_other,N2852,3.4428724027784847,1.9707221745132009
LSTM,m3_other,N2853,2.664522390684911,1.355615310297749
LSTM,m3_other,N2854,5.527583653025619,2.399775361111688
LSTM,m3_other,N2855,8.928982447423763,5.766559477044737
LSTM,m3_other,N2856,9.666844715728578,5.970461615618271
LSTM,m3_other,N2857,3.9348768301321817,2.5498030336512576
LSTM,m3_other,N2858,3.898072023087644,3.2721612548270205
LSTM,m3_other,N2859,2.7339122576224826,2.008734392629652
LSTM,m3_other,N2860,4.45598312817513,3.332204626715241
LSTM,m3_other,N2861,5.448175164328491,3.9834000285109172
LSTM,m3_other,N2862,4.321238824851067,4.327204362183587
LSTM,m3_other,N2863,22.0873296903289,3.7069579118560503
LSTM,m3_other,N2864,29.72357630560222,5.537142071873858
LSTM,m3_other,N2865,10.26867215119031,1.0562690031443926
LSTM,m3_other,N2866,35.61080609135186,7.830242673992674
LSTM,m3_other,N2867,38.98002701374982,4.174787090110489
LSTM,m3_other,N2868,24.64975296465295,4.007308061931675
LSTM,m3_other,N2869,10.331646481201176,1.6659123674762466
LSTM,m3_other,N2870,19.030209170035494,2.105317221921358
LSTM,m3_other,N2871,16.675829962861062,2.547404792146221
LSTM,m3_other,N2872,52.022474309765585,5.7014249755472814
LSTM,m3_other,N2873,11.860098834889879,1.8926060019379451
LSTM,m3_other,N2874,6.592537659481106,1.0147569669003518
LSTM,m3_other,N2875,22.069461283933062,1.802259698823599
LSTM,m3_other,N2876,1.4281633619918757,0.8486229892740657
LSTM,m3_other,N2877,5.681369342791196,2.5528651456194966
LSTM,m3_other,N2878,1.3117531556269628,0.6979983067719916
LSTM,m3_other,N2879,3.698627027918151,1.6535567855633404
LSTM,m3_other,N2880,2.5825341279922034,1.1726982544524176
LSTM,m3_other,N2881,1.4133758469851168,0.6122248581962071
LSTM,m3_other,N2882,1.37304261344723,0.5727503651033727
LSTM,m3_other,N2883,2.612093504483271,1.0116388907549128
LSTM,m3_other,N2884,2.9577201354489846,1.7861650748142865
LSTM,m3_other,N2885,1.1563500431681808,1.2143696049029815
LSTM,m3_other,N2886,0.4713888772170296,0.24143724234823688
LSTM,m3_other,N2887,3.85300863989032,3.1875031972506807
LSTM,m3_other,N2888,4.503744484444044,2.405475147139011
LSTM,m3_other,N2889,0.9654571783318057,0.6076235175558194
LSTM,m3_other,N2890,3.9370065380900616,1.4626343657090226
LSTM,m3_other,N2891,1.4066459203080455,0.9214700320725373
LSTM,m3_other,N2892,2.950769514496507,2.8777929320371243
LSTM,m3_other,N2893,3.969585731819813,2.6346348979956797
LSTM,m3_other,N2894,3.0236522596466955,1.5328741512970552
LSTM,m3_other,N2895,1.6027643670339609,1.2188217320393042
LSTM,m3_other,N2896,0.824385662000433,0.7125601324894812
LSTM,m3_other,N2897,2.6325420534336113,2.4938821004574856
LSTM,m3_other,N2898,0.9907852216014438,0.9384126428431041
LSTM,m3_other,N2899,2.9779253068882436,1.257288769321623
LSTM,m3_other,N2900,2.9632597373689484,1.7526684994091313
LSTM,m3_other,N2901,5.463682261458263,3.314952315160054
LSTM,m3_other,N2902,2.5893297978127823,1.5308445835407567
LSTM,m3_other,N2903,3.3036002100111266,1.4098020150749906
LSTM,m3_other,N2904,2.7380200581467724,1.874741667597367
LSTM,m3_other,N2905,3.28727946907892,2.2027423280658143
LSTM,m3_other,N2906,2.339015926786497,2.569446812014608
LSTM,m3_other,N2907,6.529421297266815,3.4234753641257383
LSTM,m3_other,N2908,2.6634068274147604,1.0115382603236607
LSTM,m3_other,N2909,3.550350109449935,2.511507577269617
LSTM,m3_other,N2910,12.650204625996132,5.826423532790192
LSTM,m3_other,N2911,3.797542219549381,2.405461155309978
LSTM,m3_other,N2912,3.98753546262612,2.706308573233981
LSTM,m3_other,N2913,2.2170637205049006,1.1144153030340422
LSTM,m3_other,N2914,0.681978554568743,0.4336603680070805
LSTM,m3_other,N2915,1.9845406052316952,1.2863395452060313
LSTM,m3_other,N2916,4.586948756245726,1.9346244690095407
LSTM,m3_other,N2917,1.2853299963310314,1.1544277178825681
LSTM,m3_other,N2918,2.7937100689280534,3.228960230272693
LSTM,m3_other,N2919,2.816483412579719,2.887509238883241
LSTM,m3_other,N2920,1.2490750115107985,1.2844568831197332
LSTM,m3_other,N2921,2.799336451132105,2.3226938858275115
LSTM,m3_other,N2922,2.9317698730464397,1.6784417373076477
LSTM,m3_other,N2923,5.924289096770009,5.9747277090761965
LSTM,m3_other,N2924,1.4698249258263378,1.4431150832043345
LSTM,m3_other,N2925,2.767962266744249,1.147543638352065
LSTM,m3_other,N2926,4.090688246748151,4.184755024157072
LSTM,m3_other,N2927,1.6526705000537931,0.9517686745404741
LSTM,m3_other,N2928,4.747086794421719,2.480856259817545
LSTM,m3_other,N2929,10.995623350983516,5.200561796692167
LSTM,m3_other,N2930,2.1275364472620755,1.026233960583165
LSTM,m3_other,N2931,1.1825112429618563,0.49146807148082045
LSTM,m3_other,N2932,1.4008770260559875,1.2460698060036854
LSTM,m3_other,N2933,5.3153443461811545,4.710228831408031
LSTM,m3_other,N2934,12.327681138508574,5.613639133302831
LSTM,m3_other,N2935,4.73677485001699,3.6717260549734303
LSTM,m3_other,N2936,7.175084081431271,5.947216292709837
LSTM,m3_other,N2937,3.969534834231635,2.6504400299816595
LSTM,m3_other,N2938,10.069734177100756,9.871764595334795
LSTM,m3_other,N2939,3.3579052211037643,4.109949571409472
LSTM,m3_other,N2940,1.1665296626900585,1.2875294780988102
LSTM,m3_other,N2941,3.356478267861299,2.35302108257899
LSTM,m3_other,N2942,4.987208246513786,3.0281656051629615
LSTM,m3_other,N2943,4.897542872051211,2.9437810478137885
LSTM,m3_other,N2944,9.895648899151233,6.021341504244906
LSTM,m3_other,N2945,1.9142561841486905,1.4713319964647922
LSTM,m3_other,N2946,1.4155540628535097,1.4839417469726939
LSTM,m3_other,N2947,3.814339402485572,2.3996077396872884
LSTM,m3_other,N2948,2.452065272521139,2.257284785694048
LSTM,m3_other,N2949,8.257350128792899,4.8446860985198725
LSTM,m3_other,N2950,2.113256262505602,1.197799144572082
LSTM,m3_other,N2951,4.316481850752938,3.358056998777506
LSTM,m3_other,N2952,2.6594319629190917,1.6062657571745664
LSTM,m3_other,N2953,5.073327113962293,5.008613864870838
LSTM,m3_other,N2954,5.566757965079676,4.252786133693874
LSTM,m3_other,N2955,7.369217037917082,2.569524669279003
LSTM,m3_other,N2956,9.921765624349346,6.928329504190596
LSTM,m3_other,N2957,7.528544670491003,3.064636329444679
LSTM,m3_other,N2958,10.085078977560023,6.5454082710524375
LSTM,m3_other,N2959,10.589527863661237,3.667384485315394
LSTM,m3_other,N2960,6.037040757695879,2.215707074620291
LSTM,m3_other,N2961,1.007581334318089,1.170056252252488
LSTM,m3_other,N2962,2.702627948860316,2.122702106263286
LSTM,m3_other,N2963,1.3709012618597882,0.9730152389378223
LSTM,m3_other,N2964,2.7848575097864705,1.2043528578185274
LSTM,m3_other,N2965,1.8646970409418966,1.2533140982031925
LSTM,m3_other,N2966,1.106972849617147,0.641895876779341
LSTM,m3_other,N2967,2.924799478750929,1.7533806298355017
LSTM,m3_other,N2968,1.8135860539989825,0.8508758415938028
LSTM,m3_other,N2969,3.3979713280596995,2.5466317634025812
LSTM,m3_other,N2970,6.556640337709663,4.016130551424894
LSTM,m3_other,N2971,6.1511795487395124,2.9870552262854986
LSTM,m3_other,N2972,1.7779321434399107,1.2987547851831822
LSTM,m3_other,N2973,3.5557429169974544,2.6804320873774263
LSTM,m3_other,N2974,6.698346813126188,3.7594014685741888
LSTM,m3_other,N2975,4.503462187251263,2.7740112063917652
LSTM,m3_other,N2976,1.2930819836490015,0.7464883832210049
LSTM,m3_other,N2977,5.492970175811468,4.98389263070507
LSTM,m3_other,N2978,3.0440196985417285,1.903904821294105
LSTM,m3_other,N2979,4.539038905012619,3.1209900373051895
LSTM,m3_other,N2980,4.0548851618123445,2.7877023745099563
LSTM,m3_other,N2981,6.0112067032660015,4.6043301259088425
LSTM,m3_other,N2982,3.2444450010912727,1.6986133420950156
LSTM,m3_other,N2983,1.906179213335166,1.4587834145227159
LSTM,m3_other,N2984,0.7162945682520596,0.4833948750284998
LSTM,m3_other,N2985,6.276175988241782,1.972682268652625
LSTM,m3_other,N2986,12.991977756542939,4.474802341145434
LSTM,m3_other,N2987,4.514496856502989,2.9974785507422683
LSTM,m3_other,N2988,5.5350776424241435,1.8821550680800687
LSTM,m3_other,N2989,2.5348936930282733,0.9269971225031362
LSTM,m3_other,N2990,0.9694348956127752,1.2377873502674397
LSTM,m3_other,N2991,22.933927199247883,2.0200569500423975
LSTM,m3_other,N2992,1.2586844804354738,1.0701489947331002
LSTM,m3_other,N2993,1.2281751829298329,1.0074547744378812
LSTM,m3_other,N2994,8.163742083446055,6.420064064308449
LSTM,m3_other,N2995,2.3917975913665717,2.159995908332941
LSTM,m3_other,N2996,1.4180028166887888,1.3775107643821023
LSTM,m3_other,N2997,7.519009947959504,6.434932726506622
LSTM,m3_other,N2998,2.77181235146829,2.1990027842208946
LSTM,m3_other,N2999,3.6409213800776214,1.9709737598724453
LSTM,m3_other,N3000,4.210693701750058,0.8792695207723205
LSTM,m3_other,N3001,11.37299643512244,1.5674357723097478
LSTM,m3_other,N3002,1.6642187339311745,0.942911033904906
LSTM,m3_other,N3003,5.640463264013112,2.99170136139331
