model,group,series_id,smape,mase
Theta,tourism_yearly,Y1,5.492925696148409,1.4183200588664235
Theta,tourism_yearly,Y2,10.23921626394139,1.815579488354354
Theta,tourism_yearly,Y3,45.78719455069912,7.484466481699498
Theta,tourism_yearly,Y4,48.841163403308315,9.451085677151731
Theta,tourism_yearly,Y5,47.36129408716403,5.046969494292603
Theta,tourism_yearly,Y6,39.988676482627795,6.471279286730508
Theta,tourism_yearly,Y7,59.2242811522796,11.92153743142348
Theta,tourism_yearly,Y8,11.557638046757878,0.7441078724739544
Theta,tourism_yearly,Y9,55.06148291166788,8.809549615422258
Theta,tourism_yearly,Y10,49.06039499868611,6.987750067060618
Theta,tourism_yearly,Y11,64.57458933497936,10.776925163369684
Theta,tourism_yearly,Y12,62.10869098277588,6.795637985875355
Theta,tourism_yearly,Y13,8.87390390798236,1.5630640784534608
Theta,tourism_yearly,Y14,17.999901911679647,1.7645326897739573
Theta,tourism_yearly,Y15,12.224219769711027,1.3990942969803541
Theta,tourism_yearly,Y16,16.390513688847626,4.048439269822394
Theta,tourism_yearly,Y17,20.227976068519965,3.4172357199287213
Theta,tourism_yearly,Y18,46.43346031276893,11.764448086308963
Theta,tourism_yearly,Y19,11.310013617827392,1.2820107022850356
Theta,tourism_yearly,Y20,13.875826802697878,2.8321115177221894
Theta,tourism_yearly,Y21,10.992081123594824,1.3483300571223171
Theta,tourism_yearly,Y22,72.71305082546988,9.307922156226294
Theta,tourism_yearly,Y23,30.659414224378892,6.934505000050476
Theta,tourism_yearly,Y24,4.5500924590207,1.4284677320178152
Theta,tourism_yearly,Y25,19.08853080371643,5.773447736058945
Theta,tourism_yearly,Y26,19.789749432146166,6.333840041508618
Theta,tourism_yearly,Y27,4.2637505969809775,1.3425095389354154
Theta,tourism_yearly,Y28,6.251833388861239,1.9624995475887632
Theta,tourism_yearly,Y29,2.371731221662509,0.4659097939050446
Theta,tourism_yearly,Y30,7.099580136050228,1.8102799029872438
Theta,tourism_yearly,Y31,6.974215033483539,1.0917339576238287
Theta,tourism_yearly,Y32,21.10001241529335,4.774848373133581
Theta,tourism_yearly,Y33,11.52998577442737,3.2044408837697587
Theta,tourism_yearly,Y34,9.242901823416705,2.25226813210959
Theta,tourism_yearly,Y35,10.3334719047751,2.7721571470358133
Theta,tourism_yearly,Y36,6.56223616287671,1.0283096932037445
Theta,tourism_yearly,Y37,6.43670806601542,1.0468442890155096
Theta,tourism_yearly,Y38,6.935207877569803,1.3099671271674034
Theta,tourism_yearly,Y39,4.906014128789551,0.6100495998388621
Theta,tourism_yearly,Y40,14.070774816855085,2.670624535149548
Theta,tourism_yearly,Y41,5.77658035039485,1.4826437074950838
Theta,tourism_yearly,Y42,17.423674185384854,2.7758208215874594
Theta,tourism_yearly,Y43,5.263200203341132,1.0773542149358684
Theta,tourism_yearly,Y44,13.797973431347144,3.9609554587336846
Theta,tourism_yearly,Y45,7.626999957927214,0.9150128498315031
Theta,tourism_yearly,Y46,40.3957706057805,5.913196028509232
Theta,tourism_yearly,Y47,18.962841110617106,2.2873999908248472
Theta,tourism_yearly,Y48,16.83049521650842,2.5328223285798006
Theta,tourism_yearly,Y49,16.831374040583313,2.7088763943140197
Theta,tourism_yearly,Y50,18.025016705897016,2.499044982494627
Theta,tourism_yearly,Y51,54.294597031908765,1.2255451273665359
Theta,tourism_yearly,Y52,54.146624855270495,1.2593437587007104
Theta,tourism_yearly,Y53,30.535775052894234,4.244526461495042
Theta,tourism_yearly,Y54,29.84921102037977,2.6715659066586506
Theta,tourism_yearly,Y55,45.72064465600192,9.295946963128047
Theta,tourism_yearly,Y56,8.689693409135353,0.8613861796453051
Theta,tourism_yearly,Y57,100.83753018401265,11.698730986959644
Theta,tourism_yearly,Y58,14.478639019330835,1.6536756154517271
Theta,tourism_yearly,Y59,7.755139187770559,0.9506462379333197
Theta,tourism_yearly,Y60,9.562542505588587,1.3131069160864126
Theta,tourism_yearly,Y61,12.63170916000078,2.1114441715023964
Theta,tourism_yearly,Y62,25.131076187216404,2.655580230485498
Theta,tourism_yearly,Y63,7.379896220341583,1.5526838966202783
Theta,tourism_yearly,Y64,13.423293288464885,2.6578755516494175
Theta,tourism_yearly,Y65,24.085268651167116,3.8913606605716695
Theta,tourism_yearly,Y66,12.108846879007771,2.1145853438022058
Theta,tourism_yearly,Y67,6.070846640693363,1.2755319284127702
Theta,tourism_yearly,Y68,5.614650401302093,1.009980761711583
Theta,tourism_yearly,Y69,19.76222837867744,2.290076482525156
Theta,tourism_yearly,Y70,12.015851074161457,2.1213816494471147
Theta,tourism_yearly,Y71,23.830120293333497,5.730130086955963
Theta,tourism_yearly,Y72,5.0012244037068525,0.8057314785310152
Theta,tourism_yearly,Y73,6.933679872466362,0.7829528202588771
Theta,tourism_yearly,Y74,6.010546230509832,1.3131680924693032
Theta,tourism_yearly,Y75,11.92560134988955,2.0302092369547866
Theta,tourism_yearly,Y76,6.01257832535712,1.278942672098613
Theta,tourism_yearly,Y77,5.125475950818439,0.8940003771438867
Theta,tourism_yearly,Y78,8.538986746008081,0.35114399771396837
Theta,tourism_yearly,Y79,28.447463805022707,3.135908990191972
Theta,tourism_yearly,Y80,5.641847817179831,1.1905126331320033
Theta,tourism_yearly,Y81,14.819274026749696,2.718112370214675
Theta,tourism_yearly,Y82,20.808573729546833,3.772367664774487
Theta,tourism_yearly,Y83,37.186301461151395,2.01916875523405
Theta,tourism_yearly,Y84,22.82676111073669,3.2896464717929987
Theta,tourism_yearly,Y85,10.111091529337001,0.5571689662790464
Theta,tourism_yearly,Y86,35.3397902361321,5.257350474375607
Theta,tourism_yearly,Y87,14.030121255131249,0.8770161269045669
Theta,tourism_yearly,Y88,14.093843898859422,1.3175574010940894
Theta,tourism_yearly,Y89,48.224651182928994,4.2607859945803535
Theta,tourism_yearly,Y90,16.28016047489427,3.036185146855423
Theta,tourism_yearly,Y91,8.67808464476443,0.5739845398026999
Theta,tourism_yearly,Y92,15.748713559811751,1.8331905350305169
Theta,tourism_yearly,Y93,13.708238969799549,0.9719192004596429
Theta,tourism_yearly,Y94,14.397924220983278,1.2499003895323935
Theta,tourism_yearly,Y95,18.545870913697037,2.2713831447223045
Theta,tourism_yearly,Y96,11.540056605183672,1.7616744451832762
Theta,tourism_yearly,Y97,8.709990240928335,1.3587198852241202
Theta,tourism_yearly,Y98,13.174933231399738,3.3227071475022
Theta,tourism_yearly,Y99,13.571621515493247,2.119707565567419
Theta,tourism_yearly,Y100,57.28639972411689,8.502616842455378
Theta,tourism_yearly,Y101,27.7533522955433,4.340319175141138
Theta,tourism_yearly,Y102,30.670697335196362,2.721059830284307
Theta,tourism_yearly,Y103,23.558057073359215,3.646839653353665
Theta,tourism_yearly,Y104,20.01731178211682,4.808621275057526
Theta,tourism_yearly,Y105,4.897400421433171,0.8997241224080195
Theta,tourism_yearly,Y106,22.86861747177508,5.942029725190084
Theta,tourism_yearly,Y107,4.554726518949198,1.05380767960177
Theta,tourism_yearly,Y108,13.95000511040848,0.7394757441572478
Theta,tourism_yearly,Y109,24.88471736633436,1.3655216507510275
Theta,tourism_yearly,Y110,16.727766514627945,0.959138401266871
Theta,tourism_yearly,Y111,119.10505535602091,2.6173321002228267
Theta,tourism_yearly,Y112,22.82091147491683,1.873914065166076
Theta,tourism_yearly,Y113,32.175307419625724,2.019728078478255
Theta,tourism_yearly,Y114,28.17067505421336,1.7403196162379502
Theta,tourism_yearly,Y115,22.67571506191822,1.8066901280691292
Theta,tourism_yearly,Y116,65.29726163883606,1.4986182383421967
Theta,tourism_yearly,Y117,28.693004506606297,2.681800374322057
Theta,tourism_yearly,Y118,89.2839769912294,5.915344371489046
Theta,tourism_yearly,Y119,51.21485750174682,3.60698714568829
Theta,tourism_yearly,Y120,48.64955757616883,5.640213675030861
Theta,tourism_yearly,Y121,73.46753538565864,1.8117056240715264
Theta,tourism_yearly,Y122,43.68226070710117,3.5919921373805694
Theta,tourism_yearly,Y123,36.220363088817265,0.5122344851596468
Theta,tourism_yearly,Y124,23.12117065683537,0.3917015128246749
Theta,tourism_yearly,Y125,33.96526542136835,1.1381247436445625
Theta,tourism_yearly,Y126,134.53857079330328,2.0361935644776596
Theta,tourism_yearly,Y127,34.202443483868045,0.6847998899503202
Theta,tourism_yearly,Y128,27.9855589555098,1.0458824254818437
Theta,tourism_yearly,Y129,24.379400674097923,1.156480717410196
Theta,tourism_yearly,Y130,25.396376927586225,1.6185583615370989
Theta,tourism_yearly,Y131,112.08504412420103,2.4304002536475586
Theta,tourism_yearly,Y132,24.64803258070498,1.230953151214785
Theta,tourism_yearly,Y133,13.832963477108244,0.4448448253022587
Theta,tourism_yearly,Y134,31.58924974562905,1.0930863726295281
Theta,tourism_yearly,Y135,28.811996031014846,1.9626856055653417
Theta,tourism_yearly,Y136,72.19986596534577,2.406909124504568
Theta,tourism_yearly,Y137,18.30632724832205,0.7351737556411337
Theta,tourism_yearly,Y138,25.43836683212442,1.7225795148039387
Theta,tourism_yearly,Y139,31.93771224861444,1.6141593271241192
Theta,tourism_yearly,Y140,22.025191274994665,1.3716982114536784
Theta,tourism_yearly,Y141,129.60488000303175,3.544006722470587
Theta,tourism_yearly,Y142,27.602470686931483,1.9282212282190736
Theta,tourism_yearly,Y143,20.20160333507723,0.3035636796132645
Theta,tourism_yearly,Y144,14.503525173410303,0.24451303068783448
Theta,tourism_yearly,Y145,32.256235010112945,0.6432944712385401
Theta,tourism_yearly,Y146,120.65494775390061,0.5557169345044406
Theta,tourism_yearly,Y147,17.781545391266704,0.2956573725512933
Theta,tourism_yearly,Y148,33.54846974030187,4.195542370301437
Theta,tourism_yearly,Y149,10.166405489004344,1.507373949885802
Theta,tourism_yearly,Y150,6.812461382230087,0.7519152031137845
Theta,tourism_yearly,Y151,52.86121831919424,1.5025643056941453
Theta,tourism_yearly,Y152,23.377507932942812,4.313468317183003
Theta,tourism_yearly,Y153,31.60139841959974,0.8370203610403569
Theta,tourism_yearly,Y154,24.99028239363949,0.606202279854367
