model,group,series_id,smape,mase
AutoETS,m3_other,N2830,4.957027561791425,2.4003114598312285
AutoETS,m3_other,N2831,10.578823520238858,1.4210679175084262
AutoETS,m3_other,N2832,58.084153957349706,1.507182307724248
AutoETS,m3_other,N2833,26.88076909940567,2.223373881096294
AutoETS,m3_other,N2834,0.15263092281347002,0.2614014157577177
AutoETS,m3_other,N2835,2.587561372220125,2.7875807537685335
AutoETS,m3_other,N2836,0.3129489801352294,0.4319678293135482
AutoETS,m3_other,N2837,2.683297506505074,5.360004944583739
AutoETS,m3_other,N2838,0.7556063182417958,1.3694722835539073
AutoETS,m3_other,N2839,1.4903435012157547,2.787188905574505
AutoETS,m3_other,N2840,1.0689199433604601,2.2223533302691583
AutoETS,m3_other,N2841,1.0018808671338013,2.8209236233960695
AutoETS,m3_other,N2842,2.0843750642048104,4.032673105110124
AutoETS,m3_other,N2843,0.842393561232901,1.7715758104061285
AutoETS,m3_other,N2844,1.010207872743504,2.788092345574356
AutoETS,m3_other,N2845,0.43649688123529007,1.0419204854141226
AutoETS,m3_other,N2846,0.9300844510445367,1.2282345884335155
AutoETS,m3_other,N2847,3.776448750138547,2.8208436070095337
AutoETS,m3_other,N2848,2.4069473491552165,3.64261675873774
AutoETS,m3_other,N2849,0.7048338673737571,0.838987041872161
AutoETS,m3_other,N2850,1.4675057732768673,1.4257926531247918
AutoETS,m3_other,N2851,1.1396388415607928,0.7206668884400815
AutoETS,m3_other,N2852,3.545727368576293,2.041052159406859
AutoETS,m3_other,N2853,1.9315428876274408,0.9929053593198852
AutoETS,m3_other,N2854,3.9506227335548747,1.7406830440132446
AutoETS,m3_other,N2855,4.561827083141234,3.0251311781559727
AutoETS,m3_other,N2856,5.186541386498883,3.1088989821184803
AutoETS,m3_other,N2857,2.063782997783379,1.3686033015877626
AutoETS,m3_other,N2858,3.6781905328219158,3.0921639414792548
AutoETS,m3_other,N2859,2.3697652940126446,1.7411376129937906
AutoETS,m3_other,N2860,1.3908462083387605,1.0602101031263118
AutoETS,m3_other,N2861,1.960596406118504,1.4629243820775453
AutoETS,m3_other,N2862,2.2775642664103364,2.3105100643330894
AutoETS,m3_other,N2863,16.33327202484554,2.643246784840115
AutoETS,m3_other,N2864,20.12084293253091,3.5082164331470227
AutoETS,m3_other,N2865,7.562341931988604,0.7830100125156445
AutoETS,m3_other,N2866,12.261464109465482,3.079281139286273
AutoETS,m3_other,N2867,42.51900212101193,4.620752271054697
AutoETS,m3_other,N2868,17.703196497170623,2.741041927301391
AutoETS,m3_other,N2869,10.23993166297747,1.6190502135993023
AutoETS,m3_other,N2870,24.561213933943417,2.6342031742964838
AutoETS,m3_other,N2871,9.656484110799884,1.5420109955086616
AutoETS,m3_other,N2872,25.412906057537214,3.289414166738172
AutoETS,m3_other,N2873,9.53701064305177,1.5550518134715026
AutoETS,m3_other,N2874,16.185218776978328,2.630398999834353
AutoETS,m3_other,N2875,12.463902365455258,0.8750283936097317
AutoETS,m3_other,N2876,1.2360861495560895,0.7355001664806641
AutoETS,m3_other,N2877,4.673571930141473,2.083827958439688
AutoETS,m3_other,N2878,1.5727800207104334,0.8336247432107093
AutoETS,m3_other,N2879,3.8796797672037115,1.7353341836268028
AutoETS,m3_other,N2880,2.4801573468517724,1.1263895024453405
AutoETS,m3_other,N2881,1.5604361475216884,0.6759697891151712
AutoETS,m3_other,N2882,2.1054497386700364,0.8717289180204988
AutoETS,m3_other,N2883,3.4923145435993455,1.3467522399015524
AutoETS,m3_other,N2884,2.632474270679295,1.5791537502400554
AutoETS,m3_other,N2885,0.6501203213480855,0.6879011701391201
AutoETS,m3_other,N2886,3.311884322338363,1.621694615479046
AutoETS,m3_other,N2887,1.0157571196363526,0.8536820469644005
AutoETS,m3_other,N2888,1.8058463494360955,0.94676183178321
AutoETS,m3_other,N2889,1.8670832157038093,1.1611502454683873
AutoETS,m3_other,N2890,1.9738904221379832,0.7373788968145276
AutoETS,m3_other,N2891,1.2401904290482677,0.8234399967398115
AutoETS,m3_other,N2892,2.578269608457581,2.4499911166824866
AutoETS,m3_other,N2893,2.6044607426007955,1.7492929187806552
AutoETS,m3_other,N2894,1.3034786245699421,0.6413587564565425
AutoETS,m3_other,N2895,0.7909281133956567,0.6021872339591218
AutoETS,m3_other,N2896,0.9836950363875653,0.8456132783064418
AutoETS,m3_other,N2897,0.5384649469563377,0.5178829698217431
AutoETS,m3_other,N2898,0.9611561129838034,0.9093652443233894
AutoETS,m3_other,N2899,4.436070397617778,1.8747079148376886
AutoETS,m3_other,N2900,0.8017561782108868,0.4612316634973865
AutoETS,m3_other,N2901,7.407095826026408,4.54647255126867
AutoETS,m3_other,N2902,0.6886217276777986,0.40417989919120945
AutoETS,m3_other,N2903,4.167246547577131,1.798933643065184
AutoETS,m3_other,N2904,1.3391086955016722,0.915212314764454
AutoETS,m3_other,N2905,1.27778697853701,0.8110050451773788
AutoETS,m3_other,N2906,0.4973551814723186,0.5393671730156173
AutoETS,m3_other,N2907,2.238174683432046,1.2021965185578056
AutoETS,m3_other,N2908,1.7705056651678532,0.6725363003746245
AutoETS,m3_other,N2909,0.6839245803485399,0.4609210461426395
AutoETS,m3_other,N2910,1.6891237379012505,0.7021189579350017
AutoETS,m3_other,N2911,1.8896092627830068,1.1497415951424792
AutoETS,m3_other,N2912,1.5757468075328975,1.0202607627897267
AutoETS,m3_other,N2913,1.9105393079341884,0.9388546347732901
AutoETS,m3_other,N2914,0.37234815646243585,0.23885103862199628
AutoETS,m3_other,N2915,2.7840527706082963,1.7924223326276267
AutoETS,m3_other,N2916,1.115822494206041,0.46178134992063846
AutoETS,m3_other,N2917,4.795783385614596,4.352731949961088
AutoETS,m3_other,N2918,0.6551940265720809,0.741812997401719
AutoETS,m3_other,N2919,0.4089526029130329,0.43454331669148993
AutoETS,m3_other,N2920,1.9816225590969454,2.0150784487137967
AutoETS,m3_other,N2921,0.8789721561039859,0.71137139816639
AutoETS,m3_other,N2922,0.7610242600494873,0.43191439724734504
AutoETS,m3_other,N2923,6.05485774021633,6.108138798683528
AutoETS,m3_other,N2924,3.1617414749087693,3.070083866384116
AutoETS,m3_other,N2925,2.654849539483773,1.1141234666354392
AutoETS,m3_other,N2926,1.2908183261853083,1.2977302510235278
AutoETS,m3_other,N2927,2.435521354899121,1.3921774217313008
AutoETS,m3_other,N2928,1.7920941918569224,0.8907956842757933
AutoETS,m3_other,N2929,1.9537995858861015,0.9683822171131157
AutoETS,m3_other,N2930,0.7896915410075416,0.3849438169371038
AutoETS,m3_other,N2931,4.786199902723678,2.027511165881293
AutoETS,m3_other,N2932,0.941232805806689,0.8239962471304563
AutoETS,m3_other,N2933,1.813183532344016,1.5278767817690575
AutoETS,m3_other,N2934,1.1048409306434293,0.45761849984914316
AutoETS,m3_other,N2935,0.9031336181093526,0.7166072216919247
AutoETS,m3_other,N2936,3.556496453431504,2.841023984666765
AutoETS,m3_other,N2937,3.773729704421778,2.5171203642863937
AutoETS,m3_other,N2938,2.6405055254411813,2.4938835310764405
AutoETS,m3_other,N2939,1.3016926651137157,1.5654656951187051
AutoETS,m3_other,N2940,1.788019246918009,1.9650268838521583
AutoETS,m3_other,N2941,1.836561612016529,1.2857987134720694
AutoETS,m3_other,N2942,3.4988625079213778,2.1377782370081277
AutoETS,m3_other,N2943,2.522207285868026,1.534177522421335
AutoETS,m3_other,N2944,4.845668820382155,3.008120892512514
AutoETS,m3_other,N2945,0.24037294058216732,0.18328491683645043
AutoETS,m3_other,N2946,1.7613871525762481,1.8458377807826671
AutoETS,m3_other,N2947,2.56968217118904,1.5971659103056064
AutoETS,m3_other,N2948,2.74701845464361,2.5147428810769976
AutoETS,m3_other,N2949,2.279379352234778,1.299530314893995
AutoETS,m3_other,N2950,3.6357070287394175,2.003781301798049
AutoETS,m3_other,N2951,5.149060204963028,3.999577509311475
AutoETS,m3_other,N2952,3.0939953936445943,1.868033603638914
AutoETS,m3_other,N2953,1.2589206728277689,1.2012223108977218
AutoETS,m3_other,N2954,6.4948510790923715,4.9962579114537355
AutoETS,m3_other,N2955,8.4541497917652,2.945476662075444
AutoETS,m3_other,N2956,10.694147472841308,7.499748035638548
AutoETS,m3_other,N2957,2.18479328795,0.9216216216216216
AutoETS,m3_other,N2958,8.630479341109055,5.638592965902163
AutoETS,m3_other,N2959,6.644132282963048,2.334477116099429
AutoETS,m3_other,N2960,1.2035280318838613,0.4335174219753615
AutoETS,m3_other,N2961,4.079871575329692,4.790388026254655
AutoETS,m3_other,N2962,2.9856863939383422,2.4018708434511264
AutoETS,m3_other,N2963,3.278568453070529,2.2847292622638964
AutoETS,m3_other,N2964,2.9399793278778614,1.2460227192209248
AutoETS,m3_other,N2965,2.3892220983345367,1.5942940401121037
AutoETS,m3_other,N2966,1.283813036342352,0.7439422854297254
AutoETS,m3_other,N2967,0.8454951747039542,0.49006811672601286
AutoETS,m3_other,N2968,9.148349398025184,4.345698632432594
AutoETS,m3_other,N2969,2.6788337782583183,1.9947863548760856
