model,group,series_id,smape,mase
SeasonalNaive,m3_other,N2830,4.957017142321779,2.4003062757582168
SeasonalNaive,m3_other,N2831,10.609789880460658,1.4254994741313929
SeasonalNaive,m3_other,N2832,67.37122437386179,1.9046237707051907
SeasonalNaive,m3_other,N2833,19.36361938216857,1.4964527600657833
SeasonalNaive,m3_other,N2834,0.15265342372104457,0.26143997675730757
SeasonalNaive,m3_other,N2835,2.5874966454834754,2.787512298161673
SeasonalNaive,m3_other,N2836,0.3128779662960062,0.4318696346494099
SeasonalNaive,m3_other,N2837,2.6832536183292213,5.359918506213947
SeasonalNaive,m3_other,N2838,0.7555965501625415,1.3694544980836267
SeasonalNaive,m3_other,N2839,1.4902434920122334,2.787003416433625
SeasonalNaive,m3_other,N2840,1.0689268340785545,2.2223675687286666
SeasonalNaive,m3_other,N2841,1.0041675045170868,2.827324611752471
SeasonalNaive,m3_other,N2842,2.0843835250131444,4.032689268895594
SeasonalNaive,m3_other,N2843,0.8422656247575724,1.77130824433138
SeasonalNaive,m3_other,N2844,0.6288714512832846,1.7292440564635905
SeasonalNaive,m3_other,N2845,0.4364796433787387,1.0418794271036105
SeasonalNaive,m3_other,N2846,0.9300885434454599,1.2282399735353204
SeasonalNaive,m3_other,N2847,3.776233438315491,2.8206863289076245
SeasonalNaive,m3_other,N2848,2.4068166502536967,3.642422061806593
SeasonalNaive,m3_other,N2849,0.704833867434259,0.838987041872161
SeasonalNaive,m3_other,N2850,1.4674267426221692,1.4257151583567362
SeasonalNaive,m3_other,N2851,1.1396712864246181,0.7206874350282739
SeasonalNaive,m3_other,N2852,3.6284822632036184,2.0900997349053654
SeasonalNaive,m3_other,N2853,1.9316327457184688,0.9929519653575434
SeasonalNaive,m3_other,N2854,3.965851252900679,1.7472156816442743
SeasonalNaive,m3_other,N2855,4.542146602143968,3.0124245060906976
SeasonalNaive,m3_other,N2856,5.186546755445891,3.108902305947433
SeasonalNaive,m3_other,N2857,1.5300825097826651,1.0089808428734712
SeasonalNaive,m3_other,N2858,3.6678945133496463,3.083697092970113
SeasonalNaive,m3_other,N2859,2.3697652886942655,1.7411376129937906
SeasonalNaive,m3_other,N2860,1.3378043233053296,1.0201868409847996
SeasonalNaive,m3_other,N2861,1.9604088612723636,1.4627864668187294
SeasonalNaive,m3_other,N2862,2.034690797349175,2.0674605347375468
SeasonalNaive,m3_other,N2863,16.33288509065823,2.6431779898933185
SeasonalNaive,m3_other,N2864,20.12028016144247,3.508103826468438
SeasonalNaive,m3_other,N2865,7.562342773786114,0.7830100125156445
SeasonalNaive,m3_other,N2866,12.261167263256972,3.0792124542124544
SeasonalNaive,m3_other,N2867,42.5181517303417,4.620637329286798
SeasonalNaive,m3_other,N2868,17.70058112932648,2.740591058348068
SeasonalNaive,m3_other,N2869,10.23971826759924,1.6190144119014411
SeasonalNaive,m3_other,N2870,24.56262861112066,2.6343314191960623
SeasonalNaive,m3_other,N2871,9.655351954521285,1.5418401874023946
SeasonalNaive,m3_other,N2872,25.412905998933578,3.2894141596923774
SeasonalNaive,m3_other,N2873,9.539037509572186,1.5550518134715026
SeasonalNaive,m3_other,N2874,16.185116660178434,2.6303807947019866
SeasonalNaive,m3_other,N2875,12.463497500988378,0.875
SeasonalNaive,m3_other,N2876,1.2232493089866707,0.7279082516676612
SeasonalNaive,m3_other,N2877,5.315404059642303,2.3817963154060946
SeasonalNaive,m3_other,N2878,1.737388763269428,0.9197677587632328
SeasonalNaive,m3_other,N2879,4.516126618010016,2.018644419999443
SeasonalNaive,m3_other,N2880,2.2065859241847683,1.003409324584524
SeasonalNaive,m3_other,N2881,1.3658595285268065,0.5930769793648438
SeasonalNaive,m3_other,N2882,1.3268114254953074,0.552990383829419
SeasonalNaive,m3_other,N2883,3.811963378586056,1.466193702229801
SeasonalNaive,m3_other,N2884,5.434680528294818,3.433216315613507
SeasonalNaive,m3_other,N2885,0.9716356237934332,1.0304354998350378
SeasonalNaive,m3_other,N2886,4.729988957576705,2.457421058422269
SeasonalNaive,m3_other,N2887,3.642154651243813,3.154281930547381
SeasonalNaive,m3_other,N2888,6.974447058264653,3.771096214511041
SeasonalNaive,m3_other,N2889,3.4232688469886394,2.2154710920770877
SeasonalNaive,m3_other,N2890,3.8693674949673937,1.4947001034126162
SeasonalNaive,m3_other,N2891,0.8234142341629558,0.5453860898138007
SeasonalNaive,m3_other,N2892,5.890732274602825,5.716165413533835
SeasonalNaive,m3_other,N2893,4.102132292173135,2.800157091561939
SeasonalNaive,m3_other,N2894,11.14589471727494,5.78099593495935
SeasonalNaive,m3_other,N2895,4.323826764965318,3.3427835051546393
SeasonalNaive,m3_other,N2896,4.388146556118723,3.914027299231381
SeasonalNaive,m3_other,N2897,0.5384459832156705,0.517864671163575
SeasonalNaive,m3_other,N2898,4.764627637736985,4.569227313566936
SeasonalNaive,m3_other,N2899,11.735214231733227,5.128641521005827
SeasonalNaive,m3_other,N2900,6.833893203835673,4.065430568079351
SeasonalNaive,m3_other,N2901,11.168831691587645,7.064862267777066
SeasonalNaive,m3_other,N2902,9.739085933814565,5.827766358341898
SeasonalNaive,m3_other,N2903,13.037539158224659,5.837433762301287
SeasonalNaive,m3_other,N2904,3.5679327183112877,2.522821219428178
SeasonalNaive,m3_other,N2905,6.416969274371263,4.321212121212121
SeasonalNaive,m3_other,N2906,3.224872645305767,3.5367973372781067
SeasonalNaive,m3_other,N2907,2.036018827303198,1.0950237649431083
SeasonalNaive,m3_other,N2908,9.576132484969007,3.7864285714285715
SeasonalNaive,m3_other,N2909,4.790917015261282,3.3045924574209247
SeasonalNaive,m3_other,N2910,12.656905632594308,5.592875685030285
SeasonalNaive,m3_other,N2911,4.500972893035844,2.872844827586207
SeasonalNaive,m3_other,N2912,5.9957388861936,4.076298701298701
SeasonalNaive,m3_other,N2913,5.521457075752763,2.802496991576414
SeasonalNaive,m3_other,N2914,5.024008083363523,3.3151503944773175
SeasonalNaive,m3_other,N2915,4.170799272846646,2.7603130755064456
SeasonalNaive,m3_other,N2916,9.546462804293562,4.11453952901598
SeasonalNaive,m3_other,N2917,4.795628732552514,4.352587136183974
SeasonalNaive,m3_other,N2918,5.118548854109517,5.88727844956104
SeasonalNaive,m3_other,N2919,3.2025263547322043,3.434417808219178
SeasonalNaive,m3_other,N2920,1.7931267372889907,1.8656601123595504
SeasonalNaive,m3_other,N2921,2.6978812595838413,2.228776087725504
SeasonalNaive,m3_other,N2922,6.088119453601636,3.529134388683058
SeasonalNaive,m3_other,N2923,8.563704882751798,8.778525954946131
SeasonalNaive,m3_other,N2924,3.0173508978876926,3.0424148606811148
SeasonalNaive,m3_other,N2925,6.409560908312552,2.791812865497076
SeasonalNaive,m3_other,N2926,6.22490903050217,6.387260765550239
SeasonalNaive,m3_other,N2927,7.472746124713288,4.364005736137667
SeasonalNaive,m3_other,N2928,5.084215498613116,2.6433437046882555
SeasonalNaive,m3_other,N2929,1.9537454646323171,0.9683557183557183
SeasonalNaive,m3_other,N2930,0.789707085115587,0.3849513565360373
SeasonalNaive,m3_other,N2931,4.786193530456114,2.0275083812260535
SeasonalNaive,m3_other,N2932,3.6321050790377667,3.2664711191335742
SeasonalNaive,m3_other,N2933,7.636607731816645,6.757514245014246
SeasonalNaive,m3_other,N2934,3.409937695698697,1.4331968933669186
SeasonalNaive,m3_other,N2935,2.8219433725541934,2.2589620870870872
SeasonalNaive,m3_other,N2936,6.34524040651856,5.154046852448095
SeasonalNaive,m3_other,N2937,2.7171934609924424,1.8004573170731706
SeasonalNaive,m3_other,N2938,9.337831327912228,8.987369841881991
SeasonalNaive,m3_other,N2939,3.881892621746494,4.7370557261957
SeasonalNaive,m3_other,N2940,1.1916248978861113,1.322208919485184
SeasonalNaive,m3_other,N2941,5.9045992498660445,4.1867158671586715
SeasonalNaive,m3_other,N2942,1.675676850723921,1.057808109193095
SeasonalNaive,m3_other,N2943,4.205200151788022,2.6488585922637924
SeasonalNaive,m3_other,N2944,1.5185605990975026,0.974858133669609
SeasonalNaive,m3_other,N2945,4.887688844936679,3.7863896218117854
SeasonalNaive,m3_other,N2946,4.007250430934111,4.349093014280201
SeasonalNaive,m3_other,N2947,7.810652716817606,4.984015561569689
SeasonalNaive,m3_other,N2948,6.608426304857406,6.209368703828073
SeasonalNaive,m3_other,N2949,7.8303406066776455,4.555947732051667
SeasonalNaive,m3_other,N2950,3.442959199768146,1.9912369337979094
SeasonalNaive,m3_other,N2951,0.42031347526587903,0.33728606356968216
SeasonalNaive,m3_other,N2952,1.7100498796188477,1.0614591101168283
SeasonalNaive,m3_other,N2953,4.193932584845408,4.089492092457421
SeasonalNaive,m3_other,N2954,12.290434870268689,9.795916064981949
SeasonalNaive,m3_other,N2955,17.032760377254952,6.257601351351351
SeasonalNaive,m3_other,N2956,13.770143890693355,9.812350835322196
SeasonalNaive,m3_other,N2957,2.1847932884726857,0.9216216216216216
SeasonalNaive,m3_other,N2958,5.272200172083315,3.5216827279466267
SeasonalNaive,m3_other,N2959,2.8114640239302244,1.0347685185185185
SeasonalNaive,m3_other,N2960,7.869307070242585,2.8849800399201597
SeasonalNaive,m3_other,N2961,4.07989070859628,4.790411086309524
SeasonalNaive,m3_other,N2962,2.9856288612892037,2.401823674200045
SeasonalNaive,m3_other,N2963,1.0868255696226903,0.7759405339805825
