model,group,series_id,smape,mase
Theta,m3_other,N2830,5.75405478223732,2.7989840151906336
Theta,m3_other,N2831,11.296081986020617,1.5241641933556784
Theta,m3_other,N2832,58.93258908217827,1.541488155799223
Theta,m3_other,N2833,28.037753050084106,2.3418695122231403
Theta,m3_other,N2834,0.16611284469764065,0.2845094808920785
Theta,m3_other,N2835,3.1200262070892433,3.347862151285851
Theta,m3_other,N2836,0.5168173277436499,0.7144673586409984
Theta,m3_other,N2837,2.6694602068309505,5.332748943792843
Theta,m3_other,N2838,0.7891730933237597,1.4306038463452508
Theta,m3_other,N2839,1.5986421019710781,2.987925244699093
Theta,m3_other,N2840,0.9245975794842096,1.9237701205466367
Theta,m3_other,N2841,0.8815413805282631,2.4837976448312484
Theta,m3_other,N2842,2.392044210016648,4.619321583833677
Theta,m3_other,N2843,0.8600155775579089,1.8084271842275432
Theta,m3_other,N2844,0.7370587314368086,2.0288809683382976
Theta,m3_other,N2845,0.31614424634961336,0.7549530065789021
Theta,m3_other,N2846,0.7758296786293428,1.024917833641726
Theta,m3_other,N2847,4.795525061190386,3.560756998376845
Theta,m3_other,N2848,2.7571632385511626,4.163151997590641
Theta,m3_other,N2849,0.8103764606867228,0.9640806523852443
Theta,m3_other,N2850,1.5834103578878542,1.5395278254922817
Theta,m3_other,N2851,1.519288280547535,0.9584296459968534
Theta,m3_other,N2852,3.985884134861352,2.3026438670999436
Theta,m3_other,N2853,2.2564408453744647,1.1621799310768666
Theta,m3_other,N2854,4.693592668482226,2.057435326903902
Theta,m3_other,N2855,4.25247258954592,2.8249782006795483
Theta,m3_other,N2856,5.65095856612459,3.3972765597784202
Theta,m3_other,N2857,1.650748298090901,1.089900607678626
Theta,m3_other,N2858,3.0325019324341325,2.558837769951287
Theta,m3_other,N2859,2.5139560689563583,1.8484857246143156
Theta,m3_other,N2860,1.1922262310110674,0.9101622654642739
Theta,m3_other,N2861,2.3031100228334127,1.714292251058764
Theta,m3_other,N2862,1.8839623511063373,1.9161746808844549
Theta,m3_other,N2863,18.28467850164267,2.9944189768461196
Theta,m3_other,N2864,21.18459966382821,3.723812431901955
Theta,m3_other,N2865,7.246294096241039,0.7489233259183843
Theta,m3_other,N2866,11.766062506532151,2.9646113733807677
Theta,m3_other,N2867,42.12264357876279,4.567007715249346
Theta,m3_other,N2868,19.720747436900925,3.093163653975889
Theta,m3_other,N2869,11.066063647807072,1.7584993455857867
Theta,m3_other,N2870,26.882750290725507,2.844287649203209
Theta,m3_other,N2871,10.082154724502411,1.6059722656177713
Theta,m3_other,N2872,25.762561612399697,3.3303905680105967
Theta,m3_other,N2873,9.538395547947626,1.5550518134715026
Theta,m3_other,N2874,15.853013664857198,2.5713133443413567
Theta,m3_other,N2875,11.829303125470448,0.8309517084682779
Theta,m3_other,N2876,1.2680626417968206,0.7544029272560593
Theta,m3_other,N2877,4.736812518528358,2.1130744543666307
Theta,m3_other,N2878,1.6312834359488235,0.8642600743846
Theta,m3_other,N2879,3.8777938442508844,1.734478398943114
Theta,m3_other,N2880,2.5607695045811374,1.1623885027892906
Theta,m3_other,N2881,1.5666685389115296,0.6786618424040871
Theta,m3_other,N2882,1.814510342867197,0.7530771957635024
Theta,m3_other,N2883,3.3605075718057997,1.297334296286111
Theta,m3_other,N2884,3.6129427306558783,2.2585659699515857
Theta,m3_other,N2885,0.7216769606442643,0.7574815860288425
Theta,m3_other,N2886,0.9023985317170485,0.46123353086499624
Theta,m3_other,N2887,1.6700230701941614,1.4292266677205807
Theta,m3_other,N2888,3.9246115348876547,2.0815288010453425
Theta,m3_other,N2889,0.5539487856439808,0.3550005336445812
Theta,m3_other,N2890,0.5771312844449239,0.218515121769973
Theta,m3_other,N2891,0.8209763362589149,0.5391007240857575
Theta,m3_other,N2892,4.501140835567761,4.32882784836638
Theta,m3_other,N2893,1.909218619189006,1.2946527776215848
Theta,m3_other,N2894,8.18207122132487,4.1630785701326865
Theta,m3_other,N2895,2.1847420237956343,1.662998952599687
Theta,m3_other,N2896,2.7391237549709366,2.4181311476679173
Theta,m3_other,N2897,0.5011174565746723,0.48192453625632375
Theta,m3_other,N2898,2.9910327009031836,2.840944928644991
Theta,m3_other,N2899,7.741276565963288,3.3112953248898624
Theta,m3_other,N2900,3.7164759785592665,2.172070180545472
Theta,m3_other,N2901,9.595175878755857,5.993229491026751
Theta,m3_other,N2902,7.167777031206173,4.220036554040027
Theta,m3_other,N2903,8.826682826584904,3.8602307933121036
Theta,m3_other,N2904,1.7713374129085384,1.2397961935810262
Theta,m3_other,N2905,3.8161031202839357,2.531220373417147
Theta,m3_other,N2906,1.722248361896645,1.869480656332167
Theta,m3_other,N2907,5.302332301081117,2.792711468108227
Theta,m3_other,N2908,5.77488305039339,2.229815846733898
Theta,m3_other,N2909,1.7950107503364725,1.2123674454822175
Theta,m3_other,N2910,15.245887692826942,6.853804713060935
Theta,m3_other,N2911,1.5465648606247067,0.9746738827490387
Theta,m3_other,N2912,4.342393001347609,2.92594318347312
